feature,UniProt ID,Description,KEGGID,KO_ID,Pathway_IDs,Pathway_Names,pan_bio_class,pan_bio_class_short,parent_cluster,consensus_pass,cluster_condition_keys,regime_importance_label,PAN_global_mean_normSHAP,Ae_mean_normSHAP,An_mean_normSHAP,AeAn_delta_An_minus_Ae,total_var_normSHAP,regime_var_frac,within_var_normSHAP,p_regime_Ae_vs_An,q_regime_Ae_vs_An,d_out,d_all,z_out_rank,z_all_rank,quad,mean_abs_shap,consensus_score,Ac+CA_ae,Ac+CA_an,Ac+KL_ae,ANCHOR:Ac_ae,ANCHOR:Ac_an,Ac+KL_an,Ac+SA_ae,Ac+SA_an,Ac+SF_ae,Ac+SF_an,Ac+pCA_ae,Ac+pCA_an,CA_an,SF_ae,pC_ae,pC_an,BREADTH_frac_ge1x,BREADTH_frac_ge2x,BREADTH_frac_ge5x,q_value_O2_DEG,AeAn_direction,gene,shap_rank,module,mod_gr_r,mod_gr_abs_r,in_gr_module,tier
RPA2442,Q6N721,Putative outer membrane protein OS=Rhodopseudomonas palustris (strain ATCC BAA-98 / CGA009) OX=258594 GN=RPA2442 PE=4 SV=1,rpa:TX73_012630,,,,Oxygen-bridging pan-condition core,O2-bridging core,44,True,CA_an,Regime-invariant importance,17410578166.34208,15694752061.67932,19126404271.00484,3431652209.325518,1.395228948546041e+21,0.002110090408108405,1.392284889324599e+21,0.8628810843421623,0.9194550951879863,9.232252422029722e-06,9.302183547020736e-06,0.5353372547208465,0.5321978147432944,HH,7.733606793568779e-05,5.066299953497477,52831556478.39956,0.0,8431473702.194234,36375365290.1143,48.97501087891229,0.0,19560986564.7163,0.0,0.0,7823968185.345458,0.0,0.0,145187265933.7182,8358634458.010144,0.0,0.0,0.5,0.5,0.5,0.002104240330466435,Ae_up,RPA2442,11,1,-0.6150968944808747,0.6150968944808747,True,Tier1_UniversalCore_HH
RPA3185,Q6N4Z8,Methyl-accepting chemotaxis receptor/sensory transducer OS=Rhodopseudomonas palustris (strain ATCC BAA-98 / CGA009) OX=258594 GN=RPA3185 PE=3 SV=1,rpa:TX73_016475,K03406,"rpa02020,rpa02030","Two-component system, Bacterial chemotaxis",Oxygen-bridging pan-condition core,O2-bridging core,35,True,Ac+KL_ae,Regime-invariant importance,17258241540.33784,21378910221.30801,13137572859.36767,-8241337361.94034,2.065876200152926e+21,0.008219229388997999,2.048896289774598e+21,0.7311582138650752,0.8353447864550955,1.17365987906071e-05,1.115789365823229e-05,0.3756057955328189,0.3420760158043417,HH,7.616889128207254e-05,4.425325689348136,0.0,0.0,160271697835.0262,8003526045.399762,11.79005391362068,5264153139.965665,0.0,0.0,2756057890.038192,0.0,0.0,99836429723.18564,0.0,0.0,0.0,0.0,0.375,0.375,0.375,4.780212474230198e-05,An_up,RPA3185,12,17,0.34558391883036077,0.34558391883036077,False,Tier1_UniversalCore_HH
RPA2873,Q6N5U7,Possible NADH oxidoreductase OS=Rhodopseudomonas palustris (strain ATCC BAA-98 / CGA009) OX=258594 GN=RPA2873 PE=4 SV=1,rpa:TX73_014885,,,,Context-dependent modulator,Context-modulator,44,True,CA_an,Regime-invariant importance,16205585231.32882,7527324512.311307,24883845950.34632,17356521438.03502,1.158102629665504e+21,0.06503068655408785,1.082790420558262e+21,0.3394349634877599,0.6281977902611812,6.541777401332179e-06,6.748989177367193e-06,0.3765666461149654,0.3812251515694484,HH,7.502899402607418e-05,3.398067281427961,0.0,0.0,11520057091.15545,5926943827.259202,273.7907505945252,23385849062.10085,0.0,5791345507.066303,11455766611.6026,24773218520.55968,21871991713.64946,5484621008.687574,139635733230.5654,910470237.9354991,8533366616.888237,0.0,0.75,0.75,0.75,2.914670132947535e-16,Ae_up,RPA2873,13,1,-0.6150968944808747,0.6150968944808747,True,Tier2_AdaptiveGeneralist_HH
RPA2463,Q6N700,Cysteine desulfurase OS=Rhodopseudomonas palustris (strain ATCC BAA-98 / CGA009) OX=258594 GN=nifS1 PE=4 SV=1,rpa:TX73_012735,K04487,"rpa00730,rpa01100,rpa01240,rpa04122","Thiamine metabolism, Metabolic pathways, Biosynthesis of cofactors, Sulfur relay system",Oxygen-bridging pan-condition core,O2-bridging core,3,True,Ac+pCA_an,Regime-invariant importance,14295549070.32487,5741937105.213881,22849161035.43585,17107223930.22197,1.732551064093145e+21,0.04222921861641381,1.659386786443456e+21,0.4396086386175546,0.6421489749522822,1.924967267060232e-05,1.933960725347207e-05,0.002506697054251851,0.002997088458950984,HH,6.307066054307434e-05,5.571398781797723,0.0,19142555867.25096,0.0,45935496841.71105,8.083869407149221,0.0,0.0,0.0,0.0,0.0,0.0,163650732408.152,0.0,0.0,0.0,0.0,0.25,0.25,0.25,3.723312003312182e-10,Ae_up,RPA2463,14,2,-0.7644137444796071,0.7644137444796071,True,Tier1_UniversalCore_HH
RPA2501,Q6N6W3,Poly-beta-hydroxybutyrate synthase OS=Rhodopseudomonas palustris (strain ATCC BAA-98 / CGA009) OX=258594 GN=phbC PE=4 SV=1,rpa:TX73_012925,K03821,"rpa00650,rpa01100","Butanoate metabolism, Metabolic pathways",Oxygen-bridging pan-condition core,O2-bridging core,44,True,CA_an,Regime-invariant importance,11807226243.0947,7310695732.960606,16303756753.22879,8993061020.268183,1.030196462793892e+21,0.01962614642816131,1.009977676165325e+21,0.5961850168345388,0.7371609118365374,1.242965166699975e-05,1.244199254589103e-05,0.7240225315491217,0.7178575248111099,HH,6.124400332561376e-05,3.803104832926846,0.0,0.0,0.0,0.0,692.449685164022,0.0,1214093056.446352,0.0,0.0,10919440377.08417,0.0,0.0,119510612956.2964,0.0,57271472807.23849,0.0,0.3125,0.3125,0.3125,0.3536998744472057,ns,RPA2501,15,6,-0.09203941687622337,0.09203941687622337,False,Tier1_UniversalCore_HH
RPA4677,Q6N0T4,Caspase-1 p20:TPR repeat OS=Rhodopseudomonas palustris (strain ATCC BAA-98 / CGA009) OX=258594 GN=RPA4677 PE=4 SV=1,rpa:TX73_024310,,,,Oxygen-bridging pan-condition core,O2-bridging core,3,True,Ac+pCA_an,Regime-invariant importance,12999824213.74608,3663476201.487298,22336172226.00486,18672696024.51756,1.990539244269398e+21,0.04379084434379095,1.90337185006339e+21,0.4337528870364047,0.6393972841530772,0.0001954756353320495,0.0001973825654358934,3.902963297792911,3.928128102467842,HH,5.729370955352317e-05,9.162421457771723,0.0,0.0,26698056255.75632,0.0,2.830275655321326,0.0,0.0,0.0,0.0,235829674.2988298,1527886971.634396,178453548130.9098,0.0,0.0,1081866384.507671,0.0,0.375,0.375,0.3125,0.867478275876471,ns,RPA4677,16,13,-0.6061558419768247,0.6061558419768247,True,Tier1_UniversalCore_HH
RPA2832,Q6N5Y6,Sec translocon accessory complex subunit YajC OS=Rhodopseudomonas palustris (strain ATCC BAA-98 / CGA009) OX=258594 GN=yajC PE=3 SV=1,rpa:TX73_014665,K03210,"rpa02024,rpa03060,rpa03070","Quorum sensing, Protein export, Bacterial secretion system",Context-dependent modulator,Context-modulator,6,True,pC_an,Regime-invariant importance,12955473310.56149,0.0,25910946621.12298,25910946621.12298,2.601895361839657e+21,0.06450846992632236,2.434051073138985e+21,0.3429606090863598,0.6281977902611812,1.501841599760904e-05,1.434436597437406e-05,0.8058197109117251,0.7801087628743525,HH,5.706060224306049e-05,5.575808734995877,0.0,3070753088.059848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,204216819880.924,0.125,0.125,0.125,2.864533095311224e-11,Ae_up,RPA2832,17,2,-0.7644137444796071,0.7644137444796071,True,Tier2_AdaptiveGeneralist_HH
RPA4206,Q6N244,D-beta-hydroxybutyrate dehydrogenase OS=Rhodopseudomonas palustris (strain ATCC BAA-98 / CGA009) OX=258594 GN=RPA4206 PE=4 SV=1,rpa:TX73_021805,K00019,"rpa00650,rpa01100","Butanoate metabolism, Metabolic pathways",Oxygen-bridging pan-condition core,O2-bridging core,6,True,pC_an,Regime-invariant importance,12878108452.82485,6423464117.554369,19332752788.09533,12909288670.54096,1.527617182294943e+21,0.0272728233078982,1.485954748800104e+21,0.5341014490011193,0.7022733338177983,1.624709917349224e-05,1.639578770611972e-05,0.8820705239502408,0.9079709984354801,HH,5.689966987696643e-05,6.137965588967343,51387712940.43495,0.0,0.0,0.0,13.47406274886233,0.0,0.0,0.0,0.0,3280619652.001316,0.0,0.0,0.0,0.0,0.0,151381402639.2873,0.25,0.25,0.25,4.889721742707102e-15,Ae_up,RPA4206,18,2,-0.7644137444796071,0.7644137444796071,True,Tier1_UniversalCore_HH
RPA2841,Q6N5X7,5'-nucleotidase SurE OS=Rhodopseudomonas palustris (strain ATCC BAA-98 / CGA009) OX=258594 GN=surE PE=3 SV=1,,,,,Context-dependent modulator,Context-modulator,35,True,Ac+KL_ae,Regime-invariant importance,12296651929.93465,19593933342.0298,4999370517.839499,-14594562824.1903,7.129352631444271e+20,0.07469165681670298,6.596849471371178e+20,0.3037105115407618,0.6281977902611812,1.330919235785111e-05,1.364241174156903e-05,0.4732878730331044,0.4966009840519912,HH,5.415891398760122e-05,7.360341406014502,0.0,7590954164.532083,106337939175.1437,17212343408.10546,0.0,0.0,6171544681.123536,25090406485.85853,0.0,0.0,0.0,7313603492.325379,0.0,27029639471.86563,0.0,0.0,0.4375,0.4375,0.4375,0.0143066792895246,Ae_up,RPA2841,19,8,0.25136836950793007,0.25136836950793007,False,Tier2_AdaptiveGeneralist_HH
RPA4208,Q6N242,SCP-like extracellular protein OS=Rhodopseudomonas palustris (strain ATCC BAA-98 / CGA009) OX=258594 GN=RPA4208 PE=4 SV=1,rpa:TX73_021815,,,,Context-dependent modulator,Context-modulator,6,True,pC_an,Regime-invariant importance,12080079397.4436,505520601.9629352,23654638192.92427,23149117590.96133,1.846755548714467e+21,0.0725436625347064,1.712785137404428e+21,0.3144122273164606,0.6281977902611812,8.718986218575033e-06,9.661803120166153e-06,0.4148835837159522,0.4882511962758777,HH,5.320505002315851e-05,2.3471839235872,4044164815.703482,0.0,0.0,0.0,0.0,0.0,0.0,16790248163.35987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,172446857380.0343,0.1875,0.1875,0.1875,3.415648373025535e-06,Ae_up,RPA4208,20,2,-0.7644137444796071,0.7644137444796071,True,Tier2_AdaptiveGeneralist_HH
RPA3033,Q6N5E6,Possible acetylornitine deacetylase OS=Rhodopseudomonas palustris (strain ATCC BAA-98 / CGA009) OX=258594 GN=argE PE=4 SV=1,rpa:TX73_015700,K01438,"rpa00220,rpa01100,rpa01110,rpa01210,rpa01230","Arginine biosynthesis, Metabolic pathways, Biosynthesis of secondary metabolites, 2-Oxocarboxylic acid metabolism, Biosynthesis of amino acids",Oxygen-bridging pan-condition core,O2-bridging core,35,True,Ac+KL_ae,Regime-invariant importance,11429492549.80267,15270718920.87483,7588266178.730515,-7682452742.144318,6.261288405281963e+20,0.02356546940302733,6.113738204943761e+20,0.560366399912344,0.7142777296158787,1.81398776480689e-05,1.821844254490834e-05,0.7733472047811691,0.7812078940715846,HH,5.318266350719418e-05,7.286765493540602,33905501636.15195,0.0,88260249730.84671,0.0,213.0421325089183,0.0,0.0,0.0,0.0,11644862916.8326,0.0,0.0,49061266299.96938,0.0,0.0,0.0,0.3125,0.3125,0.3125,8.056687402495431e-13,Ae_up,RPA3033,21,1,-0.6150968944808747,0.6150968944808747,True,Tier1_UniversalCore_HH
RPA2343,Q6N7B5,Transcriptional regulator GntR family OS=Rhodopseudomonas palustris (strain ATCC BAA-98 / CGA009) OX=258594 GN=RPA2343 PE=4 SV=1,rpa:TX73_012115,,,,Context-dependent modulator,Context-modulator,35,True,Ac+KL_ae,Regime-invariant importance,11135643147.77282,20709900615.63455,1561385679.911086,-19148514935.72346,1.235923033431803e+21,0.07416837746471551,1.144256627370897e+21,0.3088019986600712,0.6281977902611812,2.763696869104556e-05,2.759066996305187e-05,1.363261600090004,1.364114959192789,HH,4.913610114650379e-05,5.569947099147651,0.0,0.0,140779049438.3678,24900155486.70858,6.795897784368763,8673436213.648613,0.0,2806614101.925697,0.0,1011035116.918478,0.0,0.0,0.0,0.0,0.0,0.0,0.375,0.375,0.375,3.901854083307484e-09,An_up,RPA2343,22,3,0.7011770108380053,0.7011770108380053,True,Tier2_AdaptiveGeneralist_HH
RPA0477,Q6NCJ5,DUF937 domain-containing protein OS=Rhodopseudomonas palustris (strain ATCC BAA-98 / CGA009) OX=258594 GN=RPA0477 PE=4 SV=1,rpa:TX73_002475,,,,Oxygen-bridging pan-condition core,O2-bridging core,35,True,Ac+KL_ae,Regime-invariant importance,10756999856.19755,12923186423.77046,8590813288.624636,-4332373135.145828,5.591916763303089e+20,0.008391334213568642,5.544993120847756e+20,0.7274504981549518,0.8326907986494498,2.021418740501301e-05,2.012390489332298e-05,0.9021935199753183,0.8997184055710321,HH,4.737772796172316e-05,5.376204794512798,0.0,0.0,68796665497.05052,0.0,0.0,0.0,0.0,0.0,27524765530.02882,0.0,3081012104.860737,68726506308.99709,0.0,3983048258.223639,0.0,0.0,0.3125,0.3125,0.3125,4.979389363482051e-09,An_up,RPA0477,23,3,0.7011770108380053,0.7011770108380053,True,Tier1_UniversalCore_HH
RPA3819,Q6N375,Uncharacterized protein OS=Rhodopseudomonas palustris (strain ATCC BAA-98 / CGA009) OX=258594 GN=RPA3819 PE=4 SV=1,rpa:TX73_019770,,,,Oxygen-bridging pan-condition core,O2-bridging core,3,True,Ac+pCA_an,Regime-invariant importance,9918894911.048046,657942992.0706164,19179846830.02548,18521903837.95486,1.409469590864688e+21,0.06084929465771311,1.323704360419077e+21,0.3570424876275962,0.6281977902611812,9.765659013606634e-05,9.68611291368918e-05,1.73790807692508,1.712034799942125,HH,4.368640987810425e-05,6.885955647202198,0.0,0.0,0.0,769824502.2932028,0.0,0.0,637408573.7679065,0.0,0.0,0.0,0.0,150640279659.8939,0.0,3856310860.503821,0.0,2798494980.309912,0.3125,0.3125,0.3125,5.369228359688836e-06,Ae_up,RPA3819,24,2,-0.7644137444796071,0.7644137444796071,True,Tier1_UniversalCore_HH
RPA3761,Q6N3D3,Putative catechol 23-dioxygenase OS=Rhodopseudomonas palustris (strain ATCC BAA-98 / CGA009) OX=258594 GN=RPA3761 PE=3 SV=1,rpa:TX73_019475,,,,Oxygen-bridging pan-condition core,O2-bridging core,35,True,Ac+KL_ae,Regime-invariant importance,9773806133.861504,18390197658.55746,1157414609.16554,-17232783049.39193,1.345019088185771e+21,0.05519788050517112,1.270776885278919e+21,0.3803410510615513,0.6281977902611812,2.248021844639481e-05,2.267134023856492e-05,1.042948654940184,1.058156522192741,HH,4.304738629274249e-05,5.229515646407881,0.0,7466536549.236864,147121581268.4597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1792780324.087459,0.0,0.0,0.0,0.0,0.1875,0.1875,0.1875,0.0001786173211448464,Ae_up,RPA3761,25,8,0.25136836950793007,0.25136836950793007,False,Tier1_UniversalCore_HH
RPA3700,Q6N3J3,Bacterial luciferase OS=Rhodopseudomonas palustris (strain ATCC BAA-98 / CGA009) OX=258594 GN=RPA3700 PE=4 SV=1,rpa:TX73_019170,,,,Context-dependent modulator,Context-modulator,51,True,SF_ae,Regime-invariant importance,9382253654.793434,16072262210.17891,2692245099.407958,-13380017110.77095,2.933909592170897e+20,0.1525480355310275,2.486347447459589e+20,0.140095448902541,0.6281977902611812,4.465315772731211e-05,4.483670659326767e-05,2.196723878417453,2.20346184834191,HH,4.209209064167383e-05,7.758203637860687,2318906456.270674,0.0,29530585482.44387,54056590598.3501,57.64309254278988,4656039776.015154,0.0,11952678207.37002,0.0,0.0,0.0,4929242754.235394,0.0,42672015144.36662,0.0,0.0,0.5,0.5,0.5,5.696766756122602e-07,Ae_up,RPA3700,26,8,0.25136836950793007,0.25136836950793007,False,Tier2_AdaptiveGeneralist_HH
RPA1835,Q6N8R8,Methylmalonyl-CoA mutase subunit alpha N-terminus OS=Rhodopseudomonas palustris (strain ATCC BAA-98 / CGA009) OX=258594 GN=mutB PE=4 SV=1,rpa:TX73_009435,K01847,"rpa00280,rpa00630,rpa00640,rpa00720,rpa01100,rpa01120,rpa01200,rpa04980","Valine, leucine and isoleucine degradation, Glyoxylate and dicarboxylate metabolism, Propanoate metabolism, Other carbon fixation pathways, Metabolic pathways, Microbial metabolism in diverse environments, Carbon metabolism, Cobalamin transport and metabolism",Oxygen-bridging pan-condition core,O2-bridging core,6,True,pC_an,Regime-invariant importance,8955831810.887558,2154601957.044765,15757061664.73035,13602459707.68559,7.705933428575475e+20,0.06002741647529847,7.24336615332745e+20,0.3597064914717997,0.6281977902611812,7.188710383496354e-06,6.788498325974488e-06,0.3199162407196034,0.3091621436697987,HH,3.944473076874837e-05,4.027044439626331,0.0,14315572557.4559,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7459093235.583187,0.0,0.0,9777722420.77493,0.0,111740920760.3869,0.25,0.25,0.25,1.541506305680177e-07,Ae_up,RPA1835,27,10,-0.45471877783615555,0.45471877783615555,False,Tier1_UniversalCore_HH
